SP,noSP,sub
107.84599,78.85165,28.99434
147.78647,94.33196,53.45451
163.63335,108.80445,54.8289
201.07642,142.71915,58.35727
183.41443,117.9864,65.42803
187.42735,124.59353,62.83382
219.20584,156.84045,62.36539
103.219246,68.29601,34.923236
167.86638,100.50131,67.36507
199.5457,155.13615,44.40955
98.62992,68.988205,29.641715
161.40776,103.75516,57.6526
168.79613,122.375534,46.420596
148.95436,80.035,68.91936
93.86172,45.753357,48.108363
136.17885,91.27084,44.90801
130.41595,87.46076,42.95519
151.66612,92.58084,59.08528
271.14642,213.81157,57.33485
70.918724,59.477894,11.44083
121.54284,77.701035,43.841805
185.77563,113.59248,72.18315
82.69341,46.614716,36.078694
165.66585,112.29936,53.36649
256.61792,177.99289,78.62503
121.544685,73.45548,48.089205
54.56572,34.412083,20.153637
283.99362,224.0385,59.95512
211.52007,159.36676,52.15331
97.9141,67.101906,30.812194
311.8668,237.51291,74.35389
184.14494,130.00873,54.13621
143.99388,117.62065,26.37323
213.26086,154.64803,58.61283
212.12563,188.80708,23.31855
159.68613,120.8563,38.82983
166.69441,148.82144,17.87297
135.81094,78.6762,57.13474
184.90408,131.73238,53.1717
126.606064,87.77461,38.831454
96.06333,48.168427,47.894903
185.8117,133.62459,52.18711
172.6712,141.7132,30.958
152.12527,94.33177,57.7935
241.11057,179.57587,61.5347
137.004,86.50293,50.50107
102.39487,64.12071,38.27416
123.25864,96.67122,26.58742
266.03888,188.95038,77.0885
353.84912,283.84784,70.00128
261.19235,198.993,62.19935
145.88889,99.850044,46.038846
218.84247,162.4818,56.36067
376.23917,319.59982,56.63935
188.36734,120.47808,67.88926
119.22628,69.77703,49.44925
189.40854,151.80867,37.59987
104.01564,68.090355,35.925285
232.86378,161.3725,71.49128
120.59395,69.09572,51.49823
156.98398,90.11592,66.86806
204.46852,156.89369,47.57483
121.86012,76.52578,45.33434
116.90692,80.347015,36.559905
319.96405,295.57016,24.39389
119.51537,70.333954,49.181416
143.08282,90.11041,52.97241
104.64962,66.09937,38.55025
122.614494,81.07947,41.535024
141.1501,77.35728,63.79282
91.4344,55.752937,35.681463
271.7831,212.3245,59.4586
182.9689,109.16842,73.80048
145.8077,112.311424,33.496276
91.94761,58.28739,33.66022
64.36078,27.342316,37.018464
170.60043,93.18084,77.41959
368.93143,279.9801,88.95133
124.61559,63.537407,61.078183
198.81711,142.87297,55.94414
192.50983,145.66998,46.83985
164.49539,119.349045,45.146345
254.15196,191.36131,62.79065
182.7117,119.08646,63.62524
236.57977,147.85643,88.72334
189.00093,130.33696,58.66397
135.06381,116.79472,18.26909
168.66101,122.02519,46.63582
103.34921,80.120575,23.228635
171.19727,140.83778,30.35949
78.46436,50.361485,28.102875
194.63947,129.38124,65.25823
56.317772,31.356838,24.960934
155.46404,109.58986,45.87418
201.89328,144.78845,57.10483
143.86182,78.09025,65.77157
158.30028,129.85025,28.45003
170.1192,122.59613,47.52307
162.88239,119.49925,43.38314
166.87862,101.673874,65.204746
102.06225,59.509064,42.553186
103.86228,49.300186,54.562094
172.66618,129.83672,42.82946
103.82604,51.841454,51.984586
69.89472,31.848597,38.046123
123.580666,83.54864,40.032026
189.09073,132.1495,56.94123
139.33289,109.10509,30.2278
235.37108,170.98097,64.39011
198.14029,135.89473,62.24556
109.626015,70.20462,39.421395
173.65642,106.17683,67.47959
216.79031,147.1001,69.69021
252.75818,215.3035,37.45468
98.6534,64.17667,34.47673
228.45895,147.74306,80.71589
107.19767,58.809937,48.387733
115.81766,62.61495,53.20271
110.337204,78.18982,32.147384
307.2849,239.63197,67.65293
93.64623,50.70135,42.94488
145.26389,102.27429,42.9896
133.8429,94.023964,39.818936
100.36047,55.797592,44.562878
98.43094,55.65511,42.77583
147.77815,106.51907,41.25908
263.31375,177.8962,85.41755
244.40804,173.30585,71.10219
130.11533,84.57681,45.53852
126.75835,97.913795,28.844555
158.37967,101.32183,57.05784
177.94884,117.27293,60.67591
124.78231,81.622215,43.160095
188.93105,128.04744,60.88361
143.21591,96.82636,46.38955
123.27766,75.950615,47.327045
143.18605,87.48302,55.70303
128.94493,76.08319,52.86174
95.486374,56.706192,38.780182
124.50048,83.5203,40.98018
120.88435,92.646614,28.237736
307.35193,248.3211,59.03083
300.0193,220.86844,79.15086
136.25307,65.54658,70.70649
103.59486,65.86551,37.72935
139.59952,96.0596,43.53992
221.56293,144.30774,77.25519
207.82028,140.94727,66.87301
150.70065,79.97302,70.72763
220.96892,171.35785,49.61107
96.28319,54.264664,42.018526
154.83719,106.86635,47.97084
143.60535,108.08549,35.51986
145.13443,87.33988,57.79455
141.83917,79.11503,62.72414
121.1236,67.72608,53.39752
196.13367,123.02332,73.11035
228.79709,170.9895,57.80759
163.44016,95.86533,67.57483
224.98157,175.38,49.60157
179.3706,143.53578,35.83482
260.7563,193.84467,66.91163
212.80153,154.14188,58.65965
250.06482,184.39868,65.66614
183.38774,132.84946,50.53828
197.56697,148.23308,49.33389
140.72943,103.00901,37.72042
124.26913,87.227264,37.041866
93.9766,62.967094,31.009506
164.91493,106.562935,58.351995
207.29112,175.62637,31.66475
106.1245,57.44996,48.67454
86.413895,44.472755,41.94114
181.01047,148.93712,32.07335
85.40164,57.66274,27.7389
147.9963,112.98273,35.01357
149.25641,90.048515,59.207895
102.36991,47.35851,55.0114
161.07584,114.519936,46.555904
144.47925,120.02704,24.45221
243.14044,180.76706,62.37338
143.33104,99.78476,43.54628
210.82515,141.60457,69.22058
125.418434,69.62341,55.795024
55.74069,47.6542,8.08649
105.90839,62.76842,43.13997
154.84886,110.371765,44.477095
138.38686,87.06015,51.32671
136.02617,79.32002,56.70615
142.5316,80.26398,62.26762
94.35893,64.84455,29.51438
191.79576,143.63832,48.15744
103.78008,62.316093,41.463987
225.98628,159.31845,66.66783
167.11484,102.35405,64.76079
83.99911,45.117794,38.881316
216.04948,176.55177,39.49771
119.315475,59.30775,60.007725
123.25533,77.43595,45.81938
304.55542,231.81001,72.74541
100.233826,59.301453,40.932373
183.91272,125.23185,58.68087
104.897415,87.0391,17.858315
221.21925,145.25018,75.96907
149.88074,99.855034,50.025706
193.68333,145.20396,48.47937
174.84232,131.40549,43.43683
253.00902,190.31888,62.69014
169.69325,118.99674,50.69651
231.7287,186.82922,44.89948
252.19475,183.70256,68.49219
100.048164,54.176266,45.871898
253.49994,194.81151,58.68843
129.7048,85.51988,44.18492
158.93788,104.149956,54.787924
143.56601,112.00319,31.56282
131.21713,87.74478,43.47235
184.25471,115.21464,69.04007
301.02502,232.30484,68.72018
76.21225,37.967163,38.245087
162.90483,125.40059,37.50424
139.99675,78.994736,61.002014
92.601326,43.689003,48.912323
171.34056,117.83258,53.50798
197.2146,132.21263,65.00197
111.68777,73.92344,37.76433
123.318825,72.27878,51.040045
78.73348,39.75567,38.97781
242.26254,216.21861,26.04393
161.42639,137.74924,23.67715
141.46622,90.60539,50.86083
157.69456,125.76321,31.93135
114.434845,83.444466,30.990379
147.56596,98.480156,49.085804
231.21541,204.1381,27.07731
206.67403,156.7851,49.88893
121.18223,64.55563,56.6266
226.65253,166.68121,59.97132
166.5644,131.86162,34.70278
200.696,144.51466,56.18134
113.26753,75.79806,37.46947
102.67909,53.013126,49.665964
106.85351,58.53595,48.31756
119.39211,92.735115,26.656995
149.0308,96.95848,52.07232
126.84311,88.43863,38.40448
86.641594,51.32691,35.314684
178.02238,122.90981,55.11257
108.786934,75.72745,33.059484
127.2801,86.594406,40.685694
119.531044,64.442055,55.088989
104.53134,60.84929,43.68205
145.03307,86.27759,58.75548
80.30857,44.93557,35.373
159.42152,107.7477,51.67382
170.67535,116.82602,53.84933
107.73998,70.61167,37.12831
137.93048,79.020035,58.910445
130.78526,98.22853,32.55673
218.19423,165.20651,52.98772
196.86496,129.486,67.37896
154.9689,121.36074,33.60816
83.70507,52.471283,31.233787
204.85066,135.34315,69.50751
118.89561,71.91516,46.98045
106.874825,55.726933,51.147892
131.3894,70.1275,61.2619
147.44482,92.69343,54.75139
268.29587,198.49222,69.80365
155.57191,98.83359,56.73832
193.1711,126.46331,66.70779
63.22728,44.62805,18.59923
168.21858,118.87239,49.34619
159.09923,108.843254,50.255976
197.87955,136.55933,61.32022
134.27979,75.76228,58.51751
195.15895,145.48096,49.67799
191.33928,113.36987,77.96941
257.44437,211.26962,46.17475
227.92506,153.5796,74.34546
108.93264,60.464245,48.468395
