SP,noSP
4.170737,3.7925699
5.430172,5.302281
4.9630103,4.6005907
5.9961677,5.43287
5.0109954,4.406196
4.0330815,3.9235713
6.257176,5.855361
8.21005,7.555038
5.2143846,4.987909
5.5334454,5.198124
4.3827944,4.344998
3.3306248,3.3109684
5.834044,5.6074233
5.8270993,5.3490734
5.0077467,4.535062
4.715532,4.331143
4.006266,3.8112442
4.36608,3.8166893
5.9935412,5.033772
5.3679767,5.512519
4.273232,4.2544885
5.3516307,4.8175993
6.865115,6.309177
4.722123,4.5491867
4.310829,4.3981733
4.512935,4.483909
5.746039,4.9640307
5.5380893,5.1856246
3.5458636,3.4505498
5.1044393,4.6408277
3.905107,3.4955235
5.991668,5.5693245
6.248416,5.2213564
4.13044,4.088437
8.258813,7.6685247
5.9115415,5.7743273
4.809674,4.4828196
3.0715878,3.0024638
5.455139,5.239827
3.6321537,3.5667229
5.407674,4.664983
6.371765,5.7943544
3.943665,3.5822074
4.194588,4.061258
5.291214,4.8634624
4.0223455,3.5261095
4.653958,4.773418
6.25959,5.6157813
5.9500256,5.5783224
5.634376,5.2770433
7.6316376,7.1568723
2.8618875,2.7255576
6.2965555,5.829645
4.3872914,4.1329365
3.8494525,3.7108674
6.149643,5.766794
4.672364,4.745693
4.7288146,4.35813
4.9899054,4.3466163
5.483873,4.7810864
4.20786,4.1514034
4.240087,4.1616926
4.632672,4.4599605
6.325011,5.8551545
5.116363,4.8784766
3.5960479,3.5900655
4.1315856,3.8381438
5.351027,4.8262057
7.884159,7.7795415
5.5370083,5.044747
4.6499357,4.5818844
5.3427706,5.1324024
6.870718,6.2434993
5.958379,5.502067
3.9599519,4.139748
5.773656,5.446913
4.9557548,4.6452327
5.87741,5.5903206
5.627929,5.0584826
5.366299,4.723424
4.7798243,4.8213124
5.6611376,5.41711
4.3069973,4.396646
5.0728116,4.6818624
6.3470306,5.7822533
4.0802445,4.0142465
3.2323027,2.9410522
4.3015623,4.1311045
4.7387114,4.328587
4.3284545,3.8019679
4.26694,4.3200445
4.128492,4.0373335
4.845367,4.9120226
6.621488,6.069155
5.8460455,5.103761
5.490853,5.5772557
5.155803,5.1707025
3.635299,3.3256822
3.7804546,3.5788486
6.2131567,5.281204
3.4778574,3.3846483
5.4384093,5.163719
4.5888195,4.405889
5.187947,4.697367
5.512692,5.5929527
7.061834,6.5944853
4.2479763,4.3352537
6.2556443,5.9521403
3.7295508,3.3905761
6.9322915,6.2947464
6.1221895,5.80829
6.1642632,5.7263064
4.264661,4.228435
5.3021417,5.2640195
4.7045827,4.410092
4.399166,4.136736
5.8223476,5.2453575
4.3375626,3.9623888
5.4861813,5.159374
5.110501,4.996123
3.5904217,3.460504
4.4920793,4.370288
4.9357595,4.519037
7.302539,6.620737
3.3405404,2.969698
6.0007267,5.4971375
4.775351,4.526967
6.9268,6.2765923
5.2346373,4.668378
5.339736,4.8671646
4.794274,4.7009587
5.879693,5.7351627
6.231594,6.39736
5.2758117,4.7842765
5.461633,5.2475705
4.6650324,4.7385287
4.175602,4.010632
5.923415,5.289706
3.3229125,2.999939
3.109826,3.0313501
4.6227655,4.205305
3.9002175,3.8279955
5.272058,4.853387
5.876287,5.60097
4.1869874,4.047099
3.7536516,3.6857283
4.6532707,4.309891
6.8365755,6.4684305
4.799878,4.3709145
4.913302,4.502012
4.7212224,4.5242424
3.8861032,3.6130023
4.875153,4.5861044
6.681487,6.118193
4.763346,4.603787
5.108844,5.359925
3.1846774,3.0722377
6.557269,5.7718973
5.208988,4.79371
4.3304024,3.8768208
5.740863,5.3429
4.2060394,3.7991748
5.2747083,4.593799
4.3603687,4.22385
4.8363447,4.248351
3.5455792,3.2267287
6.339019,5.537643
6.1575084,5.867056
7.5817432,7.158369
4.6547656,4.1768646
4.964967,5.2568483
3.6280234,3.699412
5.456221,4.7791243
4.713669,4.3941655
2.993264,2.8675847
4.376364,4.289615
3.8667836,3.711468
5.5059257,5.289872
6.1096587,5.313421
6.484901,5.8251452
4.9291434,4.4657683
5.2820225,4.968093
3.6128137,3.3792257
6.062887,5.8438864
4.8907313,4.430871
3.8706586,3.7311828
4.3185844,4.1238265
4.4425316,3.9609718
5.1069827,5.138797
5.971758,5.6028633
6.662276,6.033343
4.9338207,4.6870127
3.4520657,3.2972875
6.3302317,5.8840604
5.503765,5.2518663
4.602011,4.2847753
5.0000043,4.655875
5.419161,5.087537
5.007222,4.5046945
4.7369065,4.663613
3.8778265,3.587574
7.3731813,7.137873
5.5310903,5.079307
4.252927,3.4993849
3.2520602,3.1793349
3.671028,3.7013674
5.4159913,4.9747944
4.964692,4.428926
3.0478518,2.9478688
5.369495,4.8095226
5.0585675,4.424014
5.1089854,4.9000497
3.9158247,3.7784276
4.0563307,3.9196806
3.3807237,3.2380455
3.9021292,3.3783927
4.257653,3.867017
4.9820085,4.915424
5.211512,4.89804
3.5810132,3.4033496
3.5796711,3.404429
5.392835,5.2090387
4.9866214,4.4644785
4.6329317,4.8152103
5.112838,4.6915298
3.6231902,3.2996485
6.7157965,6.1439123
5.9744687,5.2879176
8.476375,7.8660874
5.7721844,5.453156
8.4506445,7.6678824
5.0149946,5.0053487
5.3415127,4.7950506
4.4610653,4.4759073
7.7121444,7.3342233
3.7494993,3.7001743
4.2264676,4.043288
7.2113075,6.597441
5.755979,5.2313914
4.234526,4.2058477
3.4442217,3.3399947
8.800474,7.679599
5.310735,4.871184
3.5023804,3.347279
3.1124976,2.9791691
3.551201,3.158526
4.2360697,4.146544
5.642412,5.2459636
5.585588,5.351572
5.4171352,5.0598664
4.0106244,3.7154412
4.8272176,4.3612294
7.2354827,6.982352
6.517443,5.8451962
2.4229026,2.1548655
4.1424446,3.8824692
